1,49.85794333163064,recognized_faces\1_20250225_102527.jpg,2025-02-25 10:25:27
1,51.906968728980296,recognized_faces\1_20250225_103450.jpg,2025-02-25 10:34:50
063,46.86218616269799,recognized_faces\063_20250225_130115.jpg,2025-02-25 13:01:15
046,56.63525096413696,recognized_faces\046_20250225_130325.jpg,2025-02-25 13:03:25
024,80.60393355460414,recognized_faces\024_20250227_113544.jpg,2025-02-27 11:35:44
063,141.1440329793867,recognized_faces\063_20250227_113747.jpg,2025-02-27 11:37:47
060,46.38468535074159,recognized_faces\060_20250227_113944.jpg,2025-02-27 11:39:44
060,53.398450075407474,recognized_faces\060_20250227_123211.jpg,2025-02-27 12:32:11
063,59.90130430390687,recognized_faces\063_20250307_202711.jpg,2025-03-07 20:27:11
1,63.95734678375549,recognized_faces\1_20250314_115100.jpg,2025-03-14 11:51:00
1,52.74725540391979,recognized_faces\1_20250314_115415.jpg,2025-03-14 11:54:15
